"filename", "language", "JSON", "Log", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\services\update_request_services.js", "JavaScript", 0, 0, 0, 55, 0, 15, 70
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\services\user_services.js", "JavaScript", 0, 0, 0, 116, 3, 26, 145
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\early_exit_approved_template.js", "JavaScript", 0, 0, 0, 187, 0, 1, 188
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\early_exit_pending_template.js", "JavaScript", 0, 0, 0, 164, 0, 1, 165
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\early_exit_rejected_template.js", "JavaScript", 0, 0, 0, 177, 0, 1, 178
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\email_verification_token_template.js", "JavaScript", 0, 0, 0, 135, 0, 1, 136
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\late_entry_pending_template.js", "JavaScript", 0, 0, 0, 157, 0, 1, 158
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\late_entry_validated_template.js", "JavaScript", 0, 0, 0, 121, 0, 1, 122
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\password_reset_token_template.js", "JavaScript", 0, 0, 0, 162, 0, 1, 163
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\support_email_notification_template.js", "JavaScript", 0, 0, 0, 81, 0, 2, 83
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\update_request_approved_template.js", "JavaScript", 0, 0, 0, 134, 0, 1, 135
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\update_request_denied.js", "JavaScript", 0, 0, 0, 132, 0, 1, 133
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\templates\update_request_pending_template.js", "JavaScript", 0, 0, 0, 132, 0, 1, 133
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\api\v1\validation\user_schemas.js", "JavaScript", 0, 0, 0, 32, 0, 3, 35
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\logs\exception.log", "Log", 0, 9, 0, 0, 0, 1, 10
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\logs\info.log", "Log", 0, 412, 0, 0, 0, 1, 413
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\logs\rejection.log", "Log", 0, 6, 0, 0, 0, 1, 7
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\package-lock.json", "JSON", 1741, 0, 0, 0, 0, 1, 1742
"c:\Users\otavi\OneDrive\Área de Trabalho\Projetos\senaiid-api\package.json", "JSON", 25, 0, 0, 0, 0, 0, 25
"Total", "-", 2741, 427, 72, 3567, 128, 604, 7539
